State,Action,Q_Value
answer,open,0.4
answer,mute,0.0
answer,play,0.0
answer,unmute,0.0
answer,close,0.0
answer,screenshot,0.0
answer,set_dnd,0.0
answer_completed,open,0.0
answer_completed,mute,0.0
answer_completed,play,0.0
answer_completed,unmute,0.0
answer_completed,close,0.0
answer_completed,screenshot,0.0
answer_completed,set_dnd,0.0
after_open,open,0.0
after_open,mute,0.0
after_open,play,0.0
after_open,unmute,0.0
after_open,close,0.0
after_open,screenshot,0.0
after_open,set_dnd,0.0
open_context,open,0.0
open_context,mute,0.0
open_context,play,0.0
open_context,unmute,0.0
open_context,close,0.0
open_context,screenshot,0.0
open_context,set_dnd,0.0
review,open,0.4
review,mute,0.0
review,play,0.0
review,unmute,0.0
review,close,0.0
review,screenshot,0.0
review,set_dnd,0.472
review_completed,open,0.0
review_completed,mute,0.0
review_completed,play,0.0
review_completed,unmute,0.0
review_completed,close,0.0
review_completed,screenshot,0.0
review_completed,set_dnd,0.0
pause,open,0.792
pause,mute,0.0
pause,play,0.0
pause,unmute,0.0
pause,close,0.0
pause,screenshot,0.0
pause,set_dnd,0.0
pause_completed,open,0.0
pause_completed,mute,0.0
pause_completed,play,0.0
pause_completed,unmute,0.0
pause_completed,close,0.0
pause_completed,screenshot,0.0
pause_completed,set_dnd,0.0
restart,open,0.0
restart,mute,0.792
restart,play,0.0
restart,unmute,0.0
restart,close,0.0
restart,screenshot,0.0
restart,set_dnd,0.0
restart_completed,open,0.0
restart_completed,mute,0.0
restart_completed,play,0.0
restart_completed,unmute,0.0
restart_completed,close,0.0
restart_completed,screenshot,0.0
restart_completed,set_dnd,0.0
after_mute,open,0.0
after_mute,mute,0.0
after_mute,play,0.0
after_mute,unmute,0.0
after_mute,close,0.0
after_mute,screenshot,0.0
after_mute,set_dnd,0.0
mute_context,open,0.0
mute_context,mute,0.0
mute_context,play,0.0
mute_context,unmute,0.0
mute_context,close,0.0
mute_context,screenshot,0.0
mute_context,set_dnd,0.0
take,open,1.1762
take,mute,0.0
take,play,0.0
take,unmute,0.0
take,close,0.0
take,screenshot,0.0
take,set_dnd,0.0
take_completed,open,0.0
take_completed,mute,0.0
take_completed,play,0.0
take_completed,unmute,0.0
take_completed,close,0.0
take_completed,screenshot,0.0
take_completed,set_dnd,0.0
clear,open,0.0
clear,mute,0.0
clear,play,0.0
clear,unmute,0.0
clear,close,0.4
clear,screenshot,0.0
clear,set_dnd,0.0
clear_completed,open,0.0
clear_completed,mute,0.0
clear_completed,play,0.0
clear_completed,unmute,0.0
clear_completed,close,0.0
clear_completed,screenshot,0.0
clear_completed,set_dnd,0.0
after_close,open,0.0
after_close,mute,0.0
after_close,play,0.0
after_close,unmute,0.0
after_close,close,0.0
after_close,screenshot,0.0
after_close,set_dnd,0.0
close_context,open,0.0
close_context,mute,0.0
close_context,play,0.0
close_context,unmute,0.0
close_context,close,0.0
close_context,screenshot,0.0
close_context,set_dnd,0.0
check,open,0.805
check,mute,0.0
check,play,0.0
check,unmute,0.472
check,close,0.0
check,screenshot,0.0
check,set_dnd,0.0
check_completed,open,0.0
check_completed,mute,0.0
check_completed,play,0.0
check_completed,unmute,0.0
check_completed,close,0.0
check_completed,screenshot,0.0
check_completed,set_dnd,0.0
play,open,0.0
play,mute,0.0
play,play,2.0
play,unmute,0.0
play,close,-1.008
play,screenshot,0.0
play,set_dnd,0.0
play_completed,open,0.0
play_completed,mute,0.0
play_completed,play,0.0
play_completed,unmute,0.0
play_completed,close,0.0
play_completed,screenshot,0.0
play_completed,set_dnd,0.0
stop,open,1.5526
stop,mute,0.0
stop,play,0.0
stop,unmute,0.0
stop,close,0.0
stop,screenshot,0.0
stop,set_dnd,0.0
stop_completed,open,0.0
stop_completed,mute,0.0
stop_completed,play,0.0
stop_completed,unmute,0.0
stop_completed,close,0.0
stop_completed,screenshot,0.0
stop_completed,set_dnd,0.0
after_unmute,open,0.0
after_unmute,mute,0.0
after_unmute,play,0.0
after_unmute,unmute,0.0
after_unmute,close,0.0
after_unmute,screenshot,0.0
after_unmute,set_dnd,0.0
unmute_context,open,0.0
unmute_context,mute,0.0
unmute_context,play,0.0
unmute_context,unmute,0.0
unmute_context,close,0.0
unmute_context,screenshot,0.0
unmute_context,set_dnd,0.0
send,open,0.4
send,mute,0.0
send,play,0.0
send,unmute,0.0
send,close,0.0
send,screenshot,0.0
send,set_dnd,0.0
send_completed,open,0.0
send_completed,mute,0.0
send_completed,play,0.0
send_completed,unmute,0.0
send_completed,close,0.0
send_completed,screenshot,0.0
send_completed,set_dnd,0.0
launch,open,0.0
launch,mute,0.0
launch,play,0.0
launch,unmute,0.0
launch,close,0.0
launch,screenshot,0.0
launch,set_dnd,1.1762
launch_completed,open,0.0
launch_completed,mute,0.0
launch_completed,play,0.0
launch_completed,unmute,0.0
launch_completed,close,0.0
launch_completed,screenshot,0.0
launch_completed,set_dnd,0.0
after_set_dnd,open,0.0
after_set_dnd,mute,0.0
after_set_dnd,play,0.0
after_set_dnd,unmute,0.0
after_set_dnd,close,0.0
after_set_dnd,screenshot,0.0
after_set_dnd,set_dnd,0.0
set_dnd_context,open,0.0
set_dnd_context,mute,0.0
set_dnd_context,play,0.0
set_dnd_context,unmute,0.0
set_dnd_context,close,0.0
set_dnd_context,screenshot,0.0
set_dnd_context,set_dnd,0.0
mute,open,0.4
mute,mute,0.0
mute,play,0.0
mute,unmute,0.0
mute,close,0.0
mute,screenshot,0.0
mute,set_dnd,0.0
mute_completed,open,0.0
mute_completed,mute,0.0
mute_completed,play,0.0
mute_completed,unmute,0.0
mute_completed,close,0.0
mute_completed,screenshot,0.0
mute_completed,set_dnd,0.0
edit,open,0.4
edit,mute,0.0
edit,play,0.0
edit,unmute,0.0
edit,close,0.0
edit,screenshot,0.0
edit,set_dnd,0.0
edit_completed,open,0.0
edit_completed,mute,0.0
edit_completed,play,0.0
edit_completed,unmute,0.0
edit_completed,close,0.0
edit_completed,screenshot,0.0
edit_completed,set_dnd,0.0
update,open,0.792
update,mute,0.0
update,play,0.0
update,unmute,0.0
update,close,0.0
update,screenshot,0.0
update,set_dnd,0.0
update_completed,open,0.0
update_completed,mute,0.0
update_completed,play,0.0
update_completed,unmute,0.0
update_completed,close,0.0
update_completed,screenshot,0.0
update_completed,set_dnd,0.0
open,open,0.4
open,mute,0.0
open,play,0.0
open,unmute,0.0
open,close,0.0
open,screenshot,0.0
open,set_dnd,0.0
open_completed,open,0.0
open_completed,mute,0.0
open_completed,play,0.0
open_completed,unmute,0.0
open_completed,close,0.0
open_completed,screenshot,0.0
open_completed,set_dnd,0.0
close,open,0.4
close,mute,0.0
close,play,0.0
close,unmute,0.0
close,close,0.0
close,screenshot,0.0
close,set_dnd,0.0
close_completed,open,0.0
close_completed,mute,0.0
close_completed,play,0.0
close_completed,unmute,0.0
close_completed,close,0.0
close_completed,screenshot,0.0
close_completed,set_dnd,0.0
