Episode,Total Reward,Timestamp
1,10,2025-09-24T12:10:28
2,18,2025-09-24T12:10:28
3,13,2025-09-24T12:10:28
4,21,2025-09-24T12:10:28
5,21,2025-09-24T12:10:28
6,22,2025-09-24T12:10:28
1,5,2025-09-24T13:19:33
2,9,2025-09-24T13:19:33
3,13,2025-09-24T13:19:33
4,16,2025-09-24T13:19:34
5,22,2025-09-24T13:19:34
6,23,2025-09-24T13:19:34
1,6,2025-09-24T13:34:17
2,8,2025-09-24T13:34:17
3,12,2025-09-24T13:34:18
4,19,2025-09-24T13:34:18
5,24,2025-09-24T13:34:18
6,22,2025-09-24T13:34:18
1,13,2025-09-24T13:49:52
2,14,2025-09-24T13:49:52
3,17,2025-09-24T13:49:52
4,18,2025-09-24T13:49:53
5,21,2025-09-24T13:49:53
6,21,2025-09-24T13:49:53
