State,Action,Q_Value
mute,open,-0.64
mute,mute,0.0
mute,play,0.8248
mute,unmute,0.0
mute,close,0.0
mute,screenshot,0.0
mute,set_dnd,2.7128
clear,open,-0.64
clear,mute,3.3974
clear,play,0.0
clear,unmute,0.0
clear,close,0.0
clear,screenshot,0.0
clear,set_dnd,0.0
play,open,-0.32
play,mute,0.9505
play,play,0.0
play,unmute,3.1379
play,close,0.96
play,screenshot,2.0
play,set_dnd,0.0
play_completed,open,0.0
play_completed,mute,0.0
play_completed,play,0.0
play_completed,unmute,0.0
play_completed,close,0.0
play_completed,screenshot,0.0
play_completed,set_dnd,0.0
after_open,open,0.0
after_open,mute,0.0
after_open,play,0.0
after_open,unmute,0.0
after_open,close,0.0
after_open,screenshot,0.0
after_open,set_dnd,0.0
open_context,open,0.0
open_context,mute,0.0
open_context,play,0.0
open_context,unmute,0.0
open_context,close,0.0
open_context,screenshot,0.0
open_context,set_dnd,0.0
open,open,2.4
open,mute,0.0
open,play,3.8178
open,unmute,3.1088
open,close,4.7272
open,screenshot,2.0189
open,set_dnd,4.0589
open_completed,open,0.0
open_completed,mute,0.0
open_completed,play,0.0
open_completed,unmute,0.0
open_completed,close,0.0
open_completed,screenshot,0.0
open_completed,set_dnd,0.0
set,open,1.36
set,mute,0.0
set,play,2.36
set,unmute,1.6455
set,close,0.0
set,screenshot,1.0176
set,set_dnd,0.0
adjust,open,3.3318
adjust,mute,0.0
adjust,play,0.0
adjust,unmute,0.0
adjust,close,0.0
adjust,screenshot,0.0
adjust,set_dnd,0.0
stop,open,0.3763
stop,mute,0.0
stop,play,0.8883
stop,unmute,0.0
stop,close,1.0786
stop,screenshot,0.0
stop,set_dnd,3.7698
check,open,3.6599
check,mute,2.4571
check,play,2.0
check,unmute,6.0775
check,close,4.5267
check,screenshot,4.8664
check,set_dnd,1.0713
check_completed,open,0.0
check_completed,mute,0.0
check_completed,play,0.0
check_completed,unmute,0.0
check_completed,close,0.0
check_completed,screenshot,0.0
check_completed,set_dnd,0.0
unmute,open,-0.64
unmute,mute,2.4
unmute,play,0.0
unmute,unmute,0.0
unmute,close,0.0
unmute,screenshot,0.0
unmute,set_dnd,1.6022
unmute_completed,open,0.0
unmute_completed,mute,0.0
unmute_completed,play,0.0
unmute_completed,unmute,0.0
unmute_completed,close,0.0
unmute_completed,screenshot,0.0
unmute_completed,set_dnd,0.0
after_mute,open,0.0
after_mute,mute,0.0
after_mute,play,0.0
after_mute,unmute,0.0
after_mute,close,0.0
after_mute,screenshot,0.0
after_mute,set_dnd,0.0
mute_context,open,0.0
mute_context,mute,0.0
mute_context,play,0.0
mute_context,unmute,0.0
mute_context,close,0.0
mute_context,screenshot,0.0
mute_context,set_dnd,0.0
after_unmute,open,0.0
after_unmute,mute,0.0
after_unmute,play,0.0
after_unmute,unmute,0.0
after_unmute,close,0.0
after_unmute,screenshot,0.0
after_unmute,set_dnd,0.0
unmute_context,open,0.0
unmute_context,mute,0.0
unmute_context,play,0.0
unmute_context,unmute,0.0
unmute_context,close,0.0
unmute_context,screenshot,0.0
unmute_context,set_dnd,0.0
set_completed,open,0.0
set_completed,mute,0.0
set_completed,play,0.0
set_completed,unmute,0.0
set_completed,close,0.0
set_completed,screenshot,0.0
set_completed,set_dnd,0.0
record,open,2.5697
record,mute,2.0
record,play,0.0
record,unmute,0.0
record,close,1.9054
record,screenshot,2.6448
record,set_dnd,0.0
send,open,0.6021
send,mute,0.0
send,play,2.36
send,unmute,0.0
send,close,1.528
send,screenshot,0.0
send,set_dnd,0.0
send_completed,open,0.0
send_completed,mute,0.0
send_completed,play,0.0
send_completed,unmute,0.0
send_completed,close,0.0
send_completed,screenshot,0.0
send_completed,set_dnd,0.0
update,open,-0.32
update,mute,0.0
update,play,1.1328
update,unmute,0.0
update,close,0.0
update,screenshot,0.0
update,set_dnd,3.3008
update_completed,open,0.0
update_completed,mute,0.0
update_completed,play,0.0
update_completed,unmute,0.0
update_completed,close,0.0
update_completed,screenshot,0.0
update_completed,set_dnd,0.0
record_completed,open,0.0
record_completed,mute,0.0
record_completed,play,0.0
record_completed,unmute,0.0
record_completed,close,0.0
record_completed,screenshot,0.0
record_completed,set_dnd,0.0
after_close,open,0.0
after_close,mute,0.0
after_close,play,0.0
after_close,unmute,0.0
after_close,close,0.0
after_close,screenshot,0.0
after_close,set_dnd,0.0
close_context,open,0.0
close_context,mute,0.0
close_context,play,0.0
close_context,unmute,0.0
close_context,close,0.0
close_context,screenshot,0.0
