Episode,Total Reward,Timestamp
1,5,2025-09-15T13:13:23
2,7,2025-09-15T13:13:23
3,13,2025-09-15T13:13:23
4,13,2025-09-15T13:13:23
5,20,2025-09-15T13:13:23
1,5,2025-09-18T16:08:10
2,16,2025-09-18T16:08:10
3,15,2025-09-18T16:08:11
4,18,2025-09-18T16:08:11
5,20,2025-09-18T16:08:11
1,3,2025-09-20T13:29:53
2,4,2025-09-20T13:29:53
3,16,2025-09-20T13:29:53
4,14,2025-09-20T13:29:53
5,18,2025-09-20T13:29:53
1,3,2025-09-24T13:44:12
2,8,2025-09-24T13:44:12
3,15,2025-09-24T13:44:12
4,16,2025-09-24T13:44:12
5,21,2025-09-24T13:44:12
1,3,2025-09-24T13:51:10
2,8,2025-09-24T13:51:10
3,9,2025-09-24T13:51:10
4,16,2025-09-24T13:51:10
5,17,2025-09-24T13:51:10
