Task_ID,Parsed_Intent,Action_Taken,Base_Reward,Total_Reward,Timestamp,Confidence_Score,User_Feedback,Suggested_Correct_Action,Sigmoid_Confidence,Softmax_Confidence,Ranking_Confidence,Follow_up_Task,Follow_up_Accepted,Follow_up_Reward,Chosen_Q_Value,Mean_Other_Q_Values
1-1,adjust,open,2,3,2025-09-24T13:18:08,0.457,👍,,0.5,0.143,1.0,close (after open),True,1,0.0,0.0
1-2,check,open,-2,-2,2025-09-24T13:18:08,0.457,👎,play,0.5,0.143,1.0,,False,0,0.0,0.0
1-3,monitor,open,2,3,2025-09-24T13:18:08,0.457,👍,,0.5,0.143,1.0,close (after open),True,1,0.0,0.0
2-1,check,play,2,3,2025-09-24T13:18:08,0.657,👍,,0.819,0.325,1.0,mute (after play),True,1,2.0,-0.13999999999999999
2-2,take,open,2,3,2025-09-24T13:18:08,0.457,👍,,0.5,0.143,1.0,close (after open),True,1,0.0,0.0
2-3,monitor,open,2,3,2025-09-24T13:18:08,0.62,👍,,0.881,0.169,1.0,close (after open),True,1,0.4,0.0
3-1,monitor,play,-2,-2,2025-09-24T13:18:08,0.392,👎,open,0.417,0.134,0.857,,False,0,0.0,0.132
3-2,take,open,2,2,2025-09-24T13:18:08,0.62,👍,,0.881,0.169,1.0,close (after open),False,0,0.4,0.0
3-3,open,play,2,3,2025-09-24T13:18:08,0.457,👍,,0.5,0.143,1.0,mute (after play),True,1,0.0,0.0
1-1,edit,open,2,2,2025-09-24T13:38:37,0.457,👍,,0.5,0.143,1.0,close (after open),False,0,0.0,0.0
1-2,reply,open,2,3,2025-09-24T13:38:37,0.457,👍,,0.5,0.143,1.0,close (after open),True,1,0.0,0.0
1-3,record,play,2,2,2025-09-24T13:38:37,0.457,👍,,0.5,0.143,1.0,mute (after play),False,0,0.0,0.0
2-1,open,play,2,2,2025-09-24T13:38:37,0.62,👍,,0.881,0.169,1.0,mute (after play),False,0,0.4,0.0
2-2,set,open,2,3,2025-09-24T13:38:37,0.457,👍,,0.5,0.143,1.0,close (after open),True,1,0.0,0.0
2-3,edit,open,-2,-2,2025-09-24T13:38:37,0.62,👎,play,0.881,0.169,1.0,,False,0,0.4,0.0
3-1,open,play,2,3,2025-09-24T13:38:37,0.632,👍,,0.881,0.198,1.0,mute (after play),True,1,0.792,0.0
3-2,check,play,2,3,2025-09-24T13:38:37,0.677,👍,,0.827,0.365,1.0,mute (after play),True,1,2.36,-0.13999999999999999
3-3,stop,open,-2,-2,2025-09-24T13:38:37,0.457,👎,play,0.5,0.143,1.0,,False,0,0.0,0.0
1-1,play,open,-2,-2,2025-09-24T13:52:45,0.457,👎,close,0.5,0.143,1.0,,False,0,0.0,0.0
1-2,open,play,-2,-2,2025-09-24T13:52:45,0.645,👎,close,0.881,0.231,1.0,,False,0,1.17616,0.0
1-3,restart,open,2,3,2025-09-24T13:52:45,0.457,👍,,0.5,0.143,1.0,close (after open),True,1,0.0,0.0
2-1,edit,play,2,2,2025-09-24T13:52:45,0.664,👍,,0.84,0.32,1.0,mute (after play),False,0,2.0,-0.08666666666666667
2-2,check,play,-2,-2,2025-09-24T13:52:45,0.696,👎,close,0.833,0.407,1.0,,False,0,2.7128,-0.13999999999999999
2-3,open,close,2,3,2025-09-24T13:52:45,0.676,👍,,0.879,0.31,1.0,open (after close),True,1,2.0,0.016821333333333344
3-1,open,close,2,3,2025-09-24T13:52:46,0.692,👍,,0.879,0.35,1.0,open (after close),True,1,2.36,0.016821333333333344
3-2,check,close,2,3,2025-09-24T13:52:46,0.634,👍,,0.794,0.292,1.0,screenshot (after close),True,1,2.0,0.08170666666666669
3-3,take,open,2,3,2025-09-24T13:52:46,0.632,👍,,0.881,0.198,1.0,close (after open),True,1,0.792,0.0
