State,Action,Q_Value
adjust,open,0.4
adjust,mute,0.0
adjust,play,0.0
adjust,unmute,0.0
adjust,close,0.0
adjust,screenshot,0.0
adjust,set_dnd,0.0
adjust_completed,open,0.0
adjust_completed,mute,0.0
adjust_completed,play,0.0
adjust_completed,unmute,0.0
adjust_completed,close,0.0
adjust_completed,screenshot,0.0
adjust_completed,set_dnd,0.0
after_open,open,0.0
after_open,mute,0.0
after_open,play,0.0
after_open,unmute,0.0
after_open,close,0.0
after_open,screenshot,0.0
after_open,set_dnd,0.0
open_context,open,0.0
open_context,mute,0.0
open_context,play,0.0
open_context,unmute,0.0
open_context,close,0.0
open_context,screenshot,0.0
open_context,set_dnd,0.0
check,open,-0.84
check,mute,0.0
check,play,1.3302
check,unmute,0.0
check,close,2.36
check,screenshot,0.0
check,set_dnd,0.0
monitor,open,2.792
monitor,mute,0.0
monitor,play,-0.6974
monitor,unmute,0.0
monitor,close,0.0
monitor,screenshot,0.0
monitor,set_dnd,0.0
monitor_completed,open,0.0
monitor_completed,mute,0.0
monitor_completed,play,0.0
monitor_completed,unmute,0.0
monitor_completed,close,0.0
monitor_completed,screenshot,0.0
monitor_completed,set_dnd,0.0
check_completed,open,0.0
check_completed,mute,0.0
check_completed,play,0.0
check_completed,unmute,0.0
check_completed,close,0.0
check_completed,screenshot,0.0
check_completed,set_dnd,0.0
after_play,open,0.0
after_play,mute,0.0
after_play,play,0.0
after_play,unmute,0.0
after_play,close,0.0
after_play,screenshot,0.0
after_play,set_dnd,0.0
play_context,open,0.0
play_context,mute,0.0
play_context,play,0.0
play_context,unmute,0.0
play_context,close,0.0
play_context,screenshot,0.0
play_context,set_dnd,0.0
take,open,1.1762
take,mute,0.0
take,play,0.0
take,unmute,0.0
take,close,0.0
take,screenshot,0.0
take,set_dnd,0.0
take_completed,open,0.0
take_completed,mute,0.0
take_completed,play,0.0
take_completed,unmute,0.0
take_completed,close,0.0
take_completed,screenshot,0.0
take_completed,set_dnd,0.0
open,open,0.0
open,mute,0.0
open,play,0.1009
open,unmute,0.0
open,close,2.7128
open,screenshot,0.0
open,set_dnd,0.0
open_completed,open,0.0
open_completed,mute,0.0
open_completed,play,0.0
open_completed,unmute,0.0
open_completed,close,0.0
open_completed,screenshot,0.0
open_completed,set_dnd,0.0
edit,open,-0.52
edit,mute,0.0
edit,play,2.36
edit,unmute,0.0
edit,close,0.0
edit,screenshot,0.0
edit,set_dnd,0.0
edit_completed,open,0.0
edit_completed,mute,0.0
edit_completed,play,0.0
edit_completed,unmute,0.0
edit_completed,close,0.0
edit_completed,screenshot,0.0
edit_completed,set_dnd,0.0
reply,open,0.4
reply,mute,0.0
reply,play,0.0
reply,unmute,0.0
reply,close,0.0
reply,screenshot,0.0
reply,set_dnd,0.0
reply_completed,open,0.0
reply_completed,mute,0.0
reply_completed,play,0.0
reply_completed,unmute,0.0
reply_completed,close,0.0
reply_completed,screenshot,0.0
reply_completed,set_dnd,0.0
record,open,0.0
record,mute,0.0
record,play,0.4
record,unmute,0.0
record,close,0.0
record,screenshot,0.0
record,set_dnd,0.0
record_completed,open,0.0
record_completed,mute,0.0
record_completed,play,0.0
record_completed,unmute,0.0
record_completed,close,0.0
record_completed,screenshot,0.0
record_completed,set_dnd,0.0
set,open,0.4
set,mute,0.0
set,play,0.0
set,unmute,0.0
set,close,0.0
set,screenshot,0.0
set,set_dnd,0.0
set_completed,open,0.0
set_completed,mute,0.0
set_completed,play,0.0
set_completed,unmute,0.0
set_completed,close,0.0
set_completed,screenshot,0.0
set_completed,set_dnd,0.0
stop,open,-0.84
stop,mute,0.0
stop,play,2.0
stop,unmute,0.0
stop,close,0.0
stop,screenshot,0.0
stop,set_dnd,0.0
play,open,-0.84
play,mute,0.0
play,play,0.0
play,unmute,0.0
play,close,2.0
play,screenshot,0.0
play,set_dnd,0.0
restart,open,0.4
restart,mute,0.0
restart,play,0.0
restart,unmute,0.0
restart,close,0.0
restart,screenshot,0.0
restart,set_dnd,0.0
restart_completed,open,0.0
restart_completed,mute,0.0
restart_completed,play,0.0
restart_completed,unmute,0.0
restart_completed,close,0.0
restart_completed,screenshot,0.0
restart_completed,set_dnd,0.0
after_close,open,0.0
after_close,mute,0.0
after_close,play,0.0
after_close,unmute,0.0
after_close,close,0.0
after_close,screenshot,0.0
after_close,set_dnd,0.0
close_context,open,0.0
close_context,mute,0.0
close_context,play,0.0
close_context,unmute,0.0
close_context,close,0.0
close_context,screenshot,0.0
close_context,set_dnd,0.0
